parameter	Alias	Description	Unit	Range
AI_Perc	Asymmetry Index (%)	Mean voxelwise asymmetry index (L-R)/(0.5*(L+R))		
ASL_CoveragePerc	FoV coverage (%)			
ASL_tSNR_CSF_Ratio	CSF temporal SNR (ratio)			
ASL_tSNR_GM_Ratio	GM temporal SNR (ratio)			
ASL_tSNR_GMWM_Ratio	GM/WM temporal SNR (ratio)			
ASL_tSNR_GMWM_WMref_Ratio	Parenchyma/Wmref tSNR (ratio)							
ASL_tSNR_Physio2Thermal_Ratio	Physiological/thermal tSNR (ratio)			
ASL_tSNR_Slope_Corr	tSNR/partial volume GM (correlation)			
ASL_tSNR_WM_Ratio	WM temporal SNR (ratio)			
ASL_tSNR_WMref_Ratio	Wmref temporal SNR (ratio)			
BackgroundSuppressionNumberPulses	Number of Background Suppression Pulses			
ExternalQuantificationType				
CBF_GM_Median_mL100gmin	Median GM CBF (mL/100g/min)	Median CBF within the pGM>0.5 ROI	
CBF_GM_PVC2_mL100gmin	Mean GM CBF, PVC (mL/100g/min)
CBF_GM_WM_Ratio	Median CBF GM/WM (ratio)	Median CBF of pGM>0.5 / Median CBF of pWM>0.5
CBF_WM_Median_mL100gmin	Median WM CBF (mL/100g/min)	Median CBF within the pWM>0.5 ROI 		
CBF_WM_PVC2_mL100gmin	Mean WM CBF, PVC (mL/100g/min)
CNR_GM_WM_Ratio	GM-WM contrast-to-noise (ratio)	(Mean GM - Mean WM) / (SD WMref)^2		
CSF_vol_mL	CSF volume (mL)	CSF Volume		
EFC_bits	Shannon Entropy (bits)	Shannon entropy of voxel intensities proportional to maximum possible entropy for similar sized image		
FBER_Wmref_Ratio		(SD Whole Brain)^2 / (SD WMref)^2		
FLAIR_CNR_GM_WM_Ratio	FLAIR GM-WM contrast-to-noise (ratio)			
FLAIR_EFC_bits	FLAIR Shannon Entropy (bits)			
FLAIR_FBER_WMref_Ratio	FLAIR FBER (ratio)			
FLAIR_Mean_AI_Perc	FLAIR mean asymmetry index (%)			
FLAIR_SD_AI_Perc	FLAIR SD asymmetry index (%)			
FLAIR_SD_WMref	FLAIR WMref SD (au)			
FLAIR_SNR_GM_Ratio	FLAIR GM SNR (ratio)			
FLAIR_WMH_n	FLAIR WMH count (n)			
FLAIR_WMH_vol_mL	FLAIR WMH volume (mL)			
FLAIR_WMref_vol_mL				
GM_ICV_Ratio	GM/ICV volume (ratio)	Ratio of GM volume to ICV volume		
GM_vol_mL	GM volume (mL)	GM Volume		
ICV_vol_mL	ICV volume (mL)	ICV Volume		
ID	subject ID			
Initial_PLD_ms	Initial post-labeling delay (ms)			
LabelingDuration_ms	Labeling duration (ms)			
LabelingType	ArterialSpinLabelingType	"Either CASL, PCASL or PASL"		
LR_flip_YesNo	Left-right orientation flipped	Left-right Orientation flipped during registation		
M0	M0Type			
Matrix	FoV Matrix (voxels)			
Matrix_N		Number of elements in N dimension	#	
Matrix_X		Number of elements in X dimension	#	
Matrix_Y		Number of elements in Y dimension	#	
Matrix_Z		Number of elements in Z dimension	#	
Mean_AI_Perc	Mean asymmetry index (%)	Mean of voxel-wise asymmetry index		
Mean_SSIM_Perc	Mean structural similarity (%)	Mean Voxel-wise Structural Similarity Index		
MotionExcl_Perc	Excluded control-label pairs (%)	Percentage of control-label pairs excluded		
MotionMax_mm	Maximum motion (mm)			
MotionMean_mm	Mean motion (mm)	Mean Motion		
MotionSD_mm	SD motion (mm)			
nRMSE_Perc	norminalized RMS error (%)	nRMSE (normalized Root Mean Square Error) within ASL template	%	
nUniqueEchoTime				
NumberOfAverages	Number of control-label pairs (n)			
PeakSNR_Ratio	Peak SNR (ratio)	"Assuming an individual ASL image can be interpreted as a noise version of an ASL template, this parameter is the dynamic range compared to the mean squared difference of the individual and template ASL images. Dynamic range is calculate here as MaxIntesity-MinIntensity (higher = better)"		
MRAcquisitionType	MRAcquisitionType			
RescaledSlope		Scale factor used by Philips		
RigidBody2Anat_mm	Alignment offset ASL-T1w (mm)	Registration offset between ASL and 3D-T1W 		
RMSE_Perc	RMS error with ASL template (%)	RMSE (Root Mean Square Error) with ASL Template		
ScaleSlope		Scale factor used by Philips		
SD_AI_Perc	SD asymmetry index (%)	SD of voxel-wise asymmetry index		
SD_Wmref	WMref SD (mL/100g/min)	SD in the WM reference region		
PulseSequenceType	PulseSequenceType			
SliceReadoutTime_ms	Slice readout time (ms)			
SNR_GM_Ratio	GM/WMref SNR (ratio)	Mean GM / SD_WMref		
SoftwareVersions				
SpatialCoV_GM_Perc	GM spatial CoV (%)	Spatial CoV within the pGM>0.5 ROI	%	
SpatialCoV_WM_Perc	WM spatial CoV (%)	Spatial CoV within the pWM>0.5 ROI	%	
T1w_CNR_GM_WM_Ratio	T1w GM/WM CNR (ratio)			
T1w_CSF_ICV_Ratio	T1w CSF/ICV volume (ratio)			
T1w_CSF_vol_mL	T1w CSF volume (mL)			
T1w_EFC_bits	T1w Shannon Entropy (bits)			
T1w_FBER_WMref_Ratio	T1w WMref FBER (ratio)			
T1w_GM_ICV_Ratio	T1w GM/ICV volume (ratio)			
T1w_GM_vol_mL	T1w GM volume (mL)			
T1w_ICV_vol_mL	T1w ICV volume (mL)			
T1w_IQR_Perc	T1w IQR (%)			
T1w_LR_flip_YesNo	"T1w left-right orientation flipped (1=yes,0=no)"			
T1w_Mean_AI_Perc	T1w mean asymmetry index (%)			
T1w_SD_AI_Perc	T1w SD asymmetry index (%)			
T1w_SD_WMref	T1w SD WMref (au)			
T1w_SNR_GM_Ratio	T1w GM SNR (ratio)			
T1w_WM_ICV_Ratio	T1w WM/ICV volume (ratio)			
T1w_WM_vol_mL	T1w WM volume (mL)			
T1w_WMref_vol_mL	T1w WMref volume (mL)			
TC_ASL2T1w_Perc	ASL to T1w alignment Tanimoto coeff (%)			
TE_ms	Echo time (ms)	Echo Time		
TR_ms	Repetition time (ms)	Repetition Time		
<<<<<<< HEAD
tSNR_CSF_Ratio	CSF temporal SNR (ratio)	Mean / Temporal SD within total CSF		
tSNR_GM_Ratio	GM temporal tSNR (ratio)	Mean / Temporal SD within total GM		
tSNR_GMWM_Ratio	Parenchyma temporal SNR (ratio)	Mean / Temporal SD within the parenchyma		
tSNR_GMWM_WMref_Ratio	Parenchyma/WMref tSNR (ratio)	Mean within the parenchyma / tSD within WMref		
tSNR_Physio2Thermal_ratio	Physiological/thermal tSNR (ratio)	tSNR_GMWM/tSNR_GMWM_WMref		
tSNR_Slope_Corr	tSNR/partial volume GM (correlation)	Slope or temporal SNR as function of GM partial volume		
tSNR_WM_Ratio	WM temporal SNR (ratio)	Mean / Temporal SD within total  WM		
tSNR_WMref_ratio	Wmref temporal SNR (ratio)	Mean / Temporal SD within total WMref		
Vendor	MRI manifacturer			
Version_CAT12	Version CAT12			
Version_ExploreASL	Version ExploreASL			
Version_FSL	Version FSL			
Version_LST	Version LST			
Version_Matlab	Version Matlab			
Version_SPM12	Version SPM12			
VoxelSize_mm	Voxel size (mm)					
VoxelSize_X_mm		Voxel size in x dimension	mm	
VoxelSize_Y_mm		Voxel size in y dimension	mm	
VoxelSize_Z_mm		Voxel size in z dimension	mm	
WM_vol_mL	WM volume (mL)	WM Volume		
WMH_n	WMH count (n)	Amount of non-connected segmented WMH		
WMref_vol_mL	WMref volume (mL)	Volume of the noise reference region in WM		
WMref_vol_per	WMref/WM volume (%)	Volume Percentage of noise reference region of WM		
